subject,runIndex,fatigue_baseline,fatigue_after,motivation_baseline,motivation_after,confidence_baseline,confidence_after,AMI_total,AMI_behavioural,AMI_emotional,AMI_social,age,musician,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,track_19,track_20,track_21,track_22,track_23,track_24,track_25,track_26,track_27,track_28,track_29,track_30,track_31,track_32,track_33,track_34,track_35,track_36,track_37,track_38,track_39,track_40
11 22,2,79.9382716,79.47530864,33.33333334,41.3580247,99.22839506,79.16666666,29,10,6,13,21,No,21,19,17,15,13,15,15,15,14,14,15,16,17,18,19,19,19,18,19,19,20,20,20,19,19,19,18,18,18,17,17,17,16,16,16,15,15,15,14,14
11 22,3,79.9382716,79.47530864,33.33333334,41.3580247,99.22839506,79.16666666,29,10,6,13,21,No,21,19,17,15,13,12,11,10,9,11,11,12,13,13,13,14,14,14,13,14,14,14,15,15,16,16,16,15,15,15,14,15,16,16,16,15,15,16,16,16
11 23,1,20.0617284,56.3271605,60.0308642,70.98765432,60.0308642,79.9382716,27,5,4,18,39,Yes,21,19,17,15,13,12,11,10,9,8,7,9,11,11,12,12,12,11,12,12,12,13,13,13,12,12,12,11,12,13,13,13,12,12,12,11,11,11,12,13
11 23,2,20.0617284,56.3271605,60.0308642,70.98765432,60.0308642,79.9382716,27,5,4,18,39,Yes,21,19,17,15,13,12,14,14,14,13,13,13,14,14,14,13,13,13,12,12,12,11,11,11,10,10,10,9,10,11,11,11,10,11,12,12,12,11,12,12
11 23,3,20.0617284,56.3271605,60.0308642,70.98765432,60.0308642,79.9382716,27,5,4,18,39,Yes,21,19,17,15,13,12,11,10,9,8,10,12,12,12,13,13,13,14,14,14,13,13,13,12,12,12,11,11,11,10,10,11,11,11,10,10,11,12,12,12
11 24,1,NaN,NaN,NaN,NaN,NaN,NaN,34,16,9,9,18,Not applicable (never played any instruments),21,19,17,15,13,12,11,10,9,8,7,9,9,10,11,11,11,10,10,11,12,13,13,13,12,12,12,13,13,14,15,15,16,17,17,18,18,19,19,19
11 24,2,NaN,NaN,NaN,NaN,NaN,NaN,34,16,9,9,18,Not applicable (never played any instruments),21,19,17,15,17,17,17,18,18,19,19,19,18,18,18,17,17,17,16,16,16,15,15,16,17,17,17,18,18,18,17,17,18,18,18,17,17,17,16,16
11 24,3,NaN,NaN,NaN,NaN,NaN,NaN,34,16,9,9,18,Not applicable (never played any instruments),21,19,17,19,21,21,21,21,21,21,21,20,20,20,19,19,19,18,18,18,20,20,20,19,19,19,18,18,18,17,17,17,18,18,18,17,18,18,18,17
11 25,1,39.80034722,55.20833334,91.015625,95.35590278,80.16493056,79.51388888,27,8,7,12,24,Not applicable (never played any instruments),21,19,17,15,13,12,11,13,13,14,14,14,15,15,15,14,14,14,13,14,15,15,15,14,14,14,13,13,13,12,13,13,13,12,12,12,11,11,11,10
11 25,2,39.80034722,55.20833334,91.015625,95.35590278,80.16493056,79.51388888,27,8,7,12,24,Not applicable (never played any instruments),21,19,17,15,13,15,15,15,14,14,15,15,15,14,14,14,13,13,13,12,12,12,13,14,14,14,13,14,14,14,13,13,13,12,12,12,11,12,12,12
11 25,3,39.80034722,55.20833334,91.015625,95.35590278,80.16493056,79.51388888,27,8,7,12,24,Not applicable (never played any instruments),21,19,17,15,13,12,14,14,14,13,14,14,14,13,13,13,12,12,13,14,14,14,15,16,16,16,15,15,15,14,14,15,15,15,14,14,14,13,13,13
11 26,1,59.67526436,58.88648298,98.20715056,99.0729014,98.8634242,69.1819138,28,9,6,13,40,No,21,19,17,15,13,12,14,14,15,15,15,14,14,14,13,13,13,14,14,14,13,14,14,14,15,15,15,14,14,14,13,13,13,12,12,13,13,13,12,12
11 26,2,59.67526436,58.88648298,98.20715056,99.0729014,98.8634242,69.1819138,28,9,6,13,40,No,21,19,17,15,13,12,14,14,15,15,16,16,16,15,15,15,14,15,15,15,14,14,14,15,15,15,14,14,14,13,13,13,14,14,14,15,15,15,14,14
11 26,3,59.67526436,58.88648298,98.20715056,99.0729014,98.8634242,69.1819138,28,9,6,13,40,No,21,19,17,15,13,12,14,16,16,16,15,15,15,14,14,15,15,15,14,14,14,13,13,13,14,15,15,15,14,14,14,13,13,13,14,14,14,15,16,16
11 27,1,39.67447916,40.53548178,63.40494792,52.74251302,38.69873046,33.21533204,32,13,7,12,31,No,21,19,17,15,13,12,11,13,15,15,16,16,17,17,17,16,16,16,15,15,16,16,16,15,15,15,14,14,14,13,13,13,12,12,13,13,14,14,14,13
11 27,2,39.67447916,40.53548178,63.40494792,52.74251302,38.69873046,33.21533204,32,13,7,12,31,No,21,19,17,15,17,17,17,16,16,16,15,15,16,16,16,15,15,15,14,14,14,13,13,13,12,12,12,13,14,14,14,13,13,14,14,14,15,15,15,14
11 27,3,39.67447916,40.53548178,63.40494792,52.74251302,38.69873046,33.21533204,32,13,7,12,31,No,21,19,17,15,13,12,14,16,16,16,15,15,15,14,14,15,15,15,14,14,15,15,15,14,14,14,13,14,15,15,15,14,14,14,13,14,14,14,13,13
11 28,1,7.24826388,9.85243056,91.015625,89.27951388,88.62847222,66.27604166,28,8,11,9,33,Yes,21,19,17,15,13,12,11,13,15,15,15,14,14,14,15,15,16,16,16,15,15,15,14,14,14,13,13,13,12,13,13,13,14,15,15,15,16,16,16,15
11 28,2,7.24826388,9.85243056,91.015625,89.27951388,88.62847222,66.27604166,28,8,11,9,33,Yes,21,19,17,15,13,12,11,10,9,8,10,12,12,13,13,13,14,14,14,15,15,15,14,14,14,13,14,15,15,15,14,14,14,15,15,16,16,17,17,17
11 28,3,7.24826388,9.85243056,91.015625,89.27951388,88.62847222,66.27604166,28,8,11,9,33,Yes,21,19,17,15,13,12,14,14,14,13,14,14,14,13,13,13,12,12,13,13,14,14,14,13,13,13,12,13,13,13,14,15,15,15,14,14,14,13,13,13
11 29,1,30.24691828,50.77161436,59.87654792,56.48148148,60.33951088,30.0925926,10,3,5,2,24,Yes,21,19,17,15,13,12,14,14,14,13,13,13,12,13,13,14,14,14,13,13,13,12,12,13,13,13,14,14,15,15,15,14,14,14,13,13,13,12,13,13
11 29,2,30.24691828,50.77161436,59.87654792,56.48148148,60.33951088,30.0925926,10,3,5,2,24,Yes,21,19,17,15,13,12,11,10,9,11,11,11,10,10,11,12,12,13,13,13,12,12,13,13,14,14,14,13,14,15,15,15,14,14,14,13,13,13,12,12
11 29,3,30.24691828,50.77161436,59.87654792,56.48148148,60.33951088,30.0925926,10,3,5,2,24,Yes,21,19,17,15,13,12,11,10,9,8,10,12,12,12,13,13,14,14,15,16,16,16,15,15,15,14,14,14,13,14,14,14,13,13,13,12,13,13,13,12
11 30,1,59.62962962,60.37037038,60.55555556,93.7037037,40.37037038,39.62962962,25,9,6,10,21,No,21,19,17,15,13,12,11,10,12,12,12,11,11,12,13,13,13,12,12,12,13,13,13,12,13,13,14,15,15,15,14,14,14,13,14,15,15,15,14,14
11 30,2,59.62962962,60.37037038,60.55555556,93.7037037,40.37037038,39.62962962,25,9,6,10,21,No,21,19,17,15,13,12,11,10,12,14,16,16,16,15,15,15,14,14,14,13,14,15,15,15,14,14,15,15,15,14,14,14,13,13,14,14,14,13,14,14
11 30,3,59.62962962,60.37037038,60.55555556,93.7037037,40.37037038,39.62962962,25,9,6,10,21,No,21,19,17,19,19,19,18,18,18,17,17,17,16,16,17,18,18,19,19,19,18,18,18,17,17,18,18,18,17,17,17,16,16,16,15,15,15,14,14,14
11 31,1,0.30864198,0.46296296,40.89506172,38.88888888,39.9691358,39.66049382,18,5,1,12,20,No,21,19,17,19,19,19,18,18,18,17,17,17,16,16,16,15,15,15,14,14,14,13,13,13,14,14,14,13,13,14,14,14,13,13,13,12,12,13,13,13
11 31,2,0.30864198,0.46296296,40.89506172,38.88888888,39.9691358,39.66049382,18,5,1,12,20,No,21,19,17,15,13,12,11,13,13,14,14,14,13,13,13,12,13,13,13,12,13,13,13,12,12,12,11,12,12,12,11,12,13,13,13,12,13,13,13,12
11 31,3,0.30864198,0.46296296,40.89506172,38.88888888,39.9691358,39.66049382,18,5,1,12,20,No,21,19,17,15,13,15,15,15,14,14,15,15,15,14,14,14,13,13,14,14,14,13,14,14,14,13,13,13,12,12,13,13,13,12,12,12,11,12,13,14
11 32,1,16.66666666,22.22222222,49.22839506,47.5308642,58.02469136,49.22839506,34,13,8,13,26,No,21,19,17,15,13,12,11,13,15,15,16,17,17,17,16,16,16,15,15,15,16,16,16,15,15,16,16,16,15,15,16,16,17,17,17,16,16,16,15,15
11 32,2,16.66666666,22.22222222,49.22839506,47.5308642,58.02469136,49.22839506,34,13,8,13,26,No,21,19,17,15,13,12,14,14,14,13,13,13,14,15,15,15,16,16,16,15,15,16,16,16,17,17,17,16,16,16,15,15,15,14,14,14,13,13,13,12
11 32,3,16.66666666,22.22222222,49.22839506,47.5308642,58.02469136,49.22839506,34,13,8,13,26,No,21,19,17,15,13,12,14,14,14,13,13,13,14,14,14,13,14,14,14,13,13,13,12,12,12,13,13,13,12,13,14,15,15,15,14,14,15,15,15,14
11 33,1,20.37037038,39.9691358,87.65432098,59.8765432,71.60493828,69.59876544,31,11,3,17,23,No,21,19,17,15,13,12,11,13,13,13,12,12,12,11,11,11,10,10,10,9,10,11,11,11,10,10,10,9,10,11,11,12,13,14,14,14,15,15,15,16
11 33,2,20.37037038,39.9691358,87.65432098,59.8765432,71.60493828,69.59876544,31,11,3,17,23,No,21,19,17,15,13,12,11,13,13,13,14,14,14,13,13,13,14,14,14,13,13,13,12,12,13,13,13,12,12,13,13,14,14,14,15,15,15,14,14,14
11 33,3,20.37037038,39.9691358,87.65432098,59.8765432,71.60493828,69.59876544,31,11,3,17,23,No,21,19,17,15,13,12,11,13,13,13,14,14,14,15,15,15,16,16,16,15,15,15,14,14,15,15,15,14,15,15,15,14,14,14,15,15,15,14,15,15
11 34,1,39.04320988,59.56790124,79.9382716,60.64814814,99.84567902,59.56790124,26,9,9,8,40,Not applicable (never played any instruments),21,19,17,15,17,17,17,16,16,16,15,15,16,16,16,15,15,15,16,16,16,15,15,15,14,14,14,13,14,14,14,13,13,13,12,12,13,13,13,12
11 34,2,39.04320988,59.56790124,79.9382716,60.64814814,99.84567902,59.56790124,26,9,9,8,40,Not applicable (never played any instruments),21,19,17,15,13,12,11,13,13,13,12,13,13,13,12,13,13,13,14,14,14,13,13,13,12,12,13,14,14,14,13,14,14,14,13,14,14,14,13,14
11 34,3,39.04320988,59.56790124,79.9382716,60.64814814,99.84567902,59.56790124,26,9,9,8,40,Not applicable (never played any instruments),21,19,17,15,13,15,15,15,16,16,16,15,15,15,14,14,14,13,13,14,14,14,13,13,14,14,14,13,13,13,12,13,13,13,12,12,12,11,11,12
11 35,1,80.13077002,99.87044722,99.87044722,60.1741733,99.87044722,19.61022126,31,17,2,12,22,Not applicable (never played any instruments),21,19,17,15,13,12,11,10,9,8,10,10,10,9,10,10,11,12,13,13,13,14,15,16,16,16,17,17,17,16,16,16,15,16,16,17,17,17,16,16
11 35,2,80.13077002,99.87044722,99.87044722,60.1741733,99.87044722,19.61022126,31,17,2,12,22,Not applicable (never played any instruments),21,19,17,15,13,12,11,10,9,11,11,11,10,10,11,11,11,12,13,13,13,14,14,14,13,13,14,14,14,15,15,15,16,16,16,17,17,17,16,16
11 35,3,80.13077002,99.87044722,99.87044722,60.1741733,99.87044722,19.61022126,31,17,2,12,22,Not applicable (never played any instruments),21,19,17,19,19,19,18,18,18,17,17,17,16,16,16,15,15,16,16,16,15,16,16,16,15,15,15,14,14,14,13,14,14,14,15,15,16,16,16,15
11 36,1,21.40046296,46.86631944,66.36646412,72.51519098,62.20630788,61.48871528,24,2,8,14,26,Yes,21,19,17,15,13,12,11,10,9,8,10,10,10,9,10,11,11,11,12,13,13,13,14,14,14,13,13,13,12,12,13,13,14,14,14,13,13,13,12,12
11 36,2,21.40046296,46.86631944,66.36646412,72.51519098,62.20630788,61.48871528,24,2,8,14,26,Yes,21,19,17,15,17,17,17,16,16,16,15,15,15,14,14,14,15,16,16,16,15,15,15,16,16,16,15,15,15,14,14,14,15,15,15,14,14,14,13,14
11 36,3,21.40046296,46.86631944,66.36646412,72.51519098,62.20630788,61.48871528,24,2,8,14,26,Yes,21,19,17,15,13,15,15,15,14,14,14,13,13,13,12,12,12,13,13,13,12,12,12,11,12,12,12,11,11,11,10,11,11,11,10,10,10,9,10,11
11 37,1,NaN,NaN,NaN,NaN,NaN,NaN,28,11,5,12,29,Yes,21,19,17,15,17,17,17,16,17,17,17,16,16,16,15,15,15,14,15,15,15,16,16,16,15,15,15,16,16,16,15,15,15,16,16,16,15,15,15,14
11 37,2,NaN,NaN,NaN,NaN,NaN,NaN,28,11,5,12,29,Yes,21,19,17,15,13,12,14,14,14,15,15,15,14,14,15,15,15,14,14,14,15,15,15,14,15,15,15,14,14,14,13,13,13,12,12,13,13,13,12,12
11 37,3,NaN,NaN,NaN,NaN,NaN,NaN,28,11,5,12,29,Yes,21,19,17,15,13,15,15,15,16,16,16,15,15,15,14,14,14,13,13,13,12,12,13,13,13,12,13,13,13,14,14,14,13,13,13,12,12,12,11,11
11 38,1,32.25309584,77.93210348,46.450622,30.55555556,28.8580294,52.93210348,19,12,1,6,21,No,21,19,17,19,19,19,20,20,20,19,20,20,21,21,21,21,21,20,20,20,19,20,21,21,21,20,20,20,19,19,19,18,18,18,17,18,19,20,21,21
11 38,2,32.25309584,77.93210348,46.450622,30.55555556,28.8580294,52.93210348,19,12,1,6,21,No,21,19,17,15,13,15,17,19,21,21,21,20,20,20,19,21,21,21,21,21,21,21,21,21,20,20,21,21,21,21,21,21,21,21,20,20,20,19,19,19
11 38,3,32.25309584,77.93210348,46.450622,30.55555556,28.8580294,52.93210348,19,12,1,6,21,No,21,19,17,19,19,20,20,20,21,21,21,21,20,20,20,19,19,19,18,19,19,20,20,21,21,21,21,21,21,21,20,21,21,21,20,21,21,21,21,21
11 39,1,18.9207176,79.70124422,80.35445602,99.81626158,99.70413774,80.53096064,33,9,12,12,20,No,21,19,17,15,13,12,14,14,15,15,15,16,16,16,15,15,16,16,16,15,15,15,14,14,15,15,15,14,14,14,13,14,14,14,13,14,14,14,15,15
11 39,2,18.9207176,79.70124422,80.35445602,99.81626158,99.70413774,80.53096064,33,9,12,12,20,No,21,19,17,15,17,17,17,16,16,16,15,15,15,14,14,15,16,16,16,15,15,15,14,14,14,15,15,15,14,14,14,13,14,14,14,13,13,13,12,13
11 39,3,18.9207176,79.70124422,80.35445602,99.81626158,99.70413774,80.53096064,33,9,12,12,20,No,21,19,17,15,13,12,11,13,15,17,17,17,16,16,16,15,16,16,16,15,15,15,14,14,14,15,15,15,14,14,15,16,16,16,15,15,15,14,14,14
11 40,1,60.63368056,58.46354166,98.828125,98.828125,98.828125,99.47916666,34,6,6,22,31,No,21,21,19,17,15,13,15,15,16,16,17,17,17,16,16,17,17,17,16,16,16,15,15,15,16,17,17,17,16,16,16,15,15,15,14,14,14,13,13,14
11 40,2,60.63368056,58.46354166,98.828125,98.828125,98.828125,99.47916666,34,6,6,22,31,No,21,19,21,21,21,20,20,20,19,19,19,18,18,18,17,17,17,16,16,16,15,15,15,17,17,17,16,16,16,15,15,15,16,16,16,15,15,15,14,14
11 40,3,60.63368056,58.46354166,98.828125,98.828125,98.828125,99.47916666,34,6,6,22,31,No,21,19,17,15,13,12,11,10,9,8,10,12,12,12,13,14,14,14,15,15,15,14,14,14,13,13,13,14,14,14,13,13,13,14,14,15,15,16,16,17
11 41,1,0.08680556,0.30381944,99.26215278,99.69618056,99.04513888,99.04513888,16,5,1,10,19,No,21,19,17,15,13,12,11,13,13,13,14,14,14,13,13,13,14,14,14,13,13,14,14,14,13,13,13,12,12,12,11,11,11,10,10,10,11,12,13,14
11 41,2,0.08680556,0.30381944,99.26215278,99.69618056,99.04513888,99.04513888,16,5,1,10,19,No,21,19,17,15,13,12,14,14,14,15,15,15,14,14,14,13,13,13,14,14,15,15,16,16,16,15,15,15,14,14,14,13,13,14,14,14,15,16,16,16
11 41,3,0.08680556,0.30381944,99.26215278,99.69618056,99.04513888,99.04513888,16,5,1,10,19,No,21,19,17,15,17,17,17,16,17,17,17,16,16,16,15,15,16,16,17,17,17,16,16,16,15,16,16,16,15,16,16,16,15,16,16,16,15,15,15,14
11 42,1,14.81481482,70.67901234,87.5,81.63580246,91.3580247,84.10493828,31,11,10,10,27,No,21,19,17,15,13,12,11,10,9,11,13,13,13,14,14,14,13,14,14,15,15,15,14,15,15,15,14,14,14,15,15,15,16,16,16,15,15,16,16,17
11 42,2,14.81481482,70.67901234,87.5,81.63580246,91.3580247,84.10493828,31,11,10,10,27,No,21,19,17,15,13,12,11,13,15,15,15,14,15,15,15,16,16,16,15,15,16,16,16,15,15,15,14,14,15,15,15,14,14,14,13,13,13,12,12,12
11 42,3,14.81481482,70.67901234,87.5,81.63580246,91.3580247,84.10493828,31,11,10,10,27,No,21,19,17,19,19,19,18,18,18,17,17,17,16,16,16,15,15,15,14,14,14,13,13,13,14,14,14,13,13,13,12,12,12,11,11,12,12,13,13,13
11 43,1,59.10493828,44.29012346,70.0617284,68.51851852,40.1234568,79.78395062,31,13,9,9,18,No,21,19,17,15,17,17,17,16,16,16,17,17,17,16,16,16,15,15,16,16,16,15,15,15,14,14,14,13,14,14,14,13,13,13,12,12,12,11,12,12
11 43,2,59.10493828,44.29012346,70.0617284,68.51851852,40.1234568,79.78395062,31,13,9,9,18,No,21,19,17,15,13,12,11,13,13,14,14,14,13,13,13,12,12,12,11,12,13,13,13,14,14,14,13,13,13,12,12,12,11,11,12,12,13,13,13,12
11 43,3,59.10493828,44.29012346,70.0617284,68.51851852,40.1234568,79.78395062,31,13,9,9,18,No,21,19,17,15,13,12,11,13,15,15,15,14,14,14,13,13,13,12,13,13,13,12,12,13,13,14,14,14,15,15,15,14,14,14,15,15,15,14,14,14
11 44,1,41.08796296,59.83796296,60.06944444,79.74537038,50.23148148,79.86111112,27,8,5,14,36,No,21,19,17,15,13,12,11,10,9,8,7,9,9,9,8,9,9,10,10,10,11,12,13,13,14,14,14,13,13,13,12,12,12,11,11,12,12,12,11,11
11 44,2,41.08796296,59.83796296,60.06944444,79.74537038,50.23148148,79.86111112,27,8,5,14,36,No,21,19,17,15,13,12,11,10,9,8,7,9,11,11,11,10,10,10,11,11,12,12,13,13,13,12,12,12,13,14,14,14,15,15,15,14,14,14,13,13
11 44,3,41.08796296,59.83796296,60.06944444,79.74537038,50.23148148,79.86111112,27,8,5,14,36,No,21,19,17,15,13,12,14,14,14,13,13,13,12,12,13,14,15,15,15,14,14,14,13,13,14,15,16,16,16,15,15,15,14,14,15,16,16,16,17,17
11 45,1,66.509309,79.92014568,71.85078938,63.65480776,79.34410942,64.56098768,25,10,4,11,27,No,21,19,17,15,13,15,15,16,16,16,15,16,16,16,15,16,16,16,15,15,16,16,16,15,15,15,14,15,15,15,14,14,14,13,13,14,14,14,13,13
11 45,2,66.509309,79.92014568,71.85078938,63.65480776,79.34410942,64.56098768,25,10,4,11,27,No,21,19,17,15,13,12,11,13,13,13,14,14,14,13,13,14,14,14,13,13,14,15,15,15,14,14,14,15,16,16,16,15,15,15,14,14,14,13,14,14
11 45,3,66.509309,79.92014568,71.85078938,63.65480776,79.34410942,64.56098768,25,10,4,11,27,No,21,19,17,15,13,15,15,15,14,14,14,13,13,13,12,13,13,13,14,14,14,15,15,15,14,14,15,15,15,14,15,16,16,17,17,17,16,16,16,15
11 46,1,99.26215278,99.69618056,49.34895834,20.26909722,49.13194444,0.08680556,29,17,2,10,25,No,21,19,17,15,17,17,17,16,16,16,15,15,15,14,14,14,13,13,13,12,12,12,11,11,11,10,10,10,9,9,9,8,8,8,7,7,7,8,8,8
11 46,2,99.26215278,99.69618056,49.34895834,20.26909722,49.13194444,0.08680556,29,17,2,10,25,No,21,19,17,15,13,12,11,10,9,8,7,6,8,8,8,7,8,8,8,7,7,7,6,6,7,7,7,6,6,6,5,6,6,7,7,7,8,8,8,7
11 46,3,99.26215278,99.69618056,49.34895834,20.26909722,49.13194444,0.08680556,29,17,2,10,25,No,21,21,19,17,15,13,12,11,10,9,8,7,9,11,11,11,10,10,10,9,9,10,10,10,11,11,11,10,10,10,9,10,10,10,9,10,10,10,9,9
11 47,1,60.18518518,33.02469136,52.31481482,80.86419754,53.8580247,80.40123456,36,14,7,15,20,Yes,21,19,17,15,13,12,11,13,13,13,12,12,13,14,14,14,13,13,13,12,12,12,11,12,12,12,11,12,13,13,14,15,16,16,16,15,15,15,14,14
11 47,2,60.18518518,33.02469136,52.31481482,80.86419754,53.8580247,80.40123456,36,14,7,15,20,Yes,21,19,17,15,13,12,11,10,12,14,14,15,15,15,16,16,16,15,15,15,16,16,16,15,15,15,14,15,15,15,14,14,14,13,14,15,15,15,14,15
11 47,3,60.18518518,33.02469136,52.31481482,80.86419754,53.8580247,80.40123456,36,14,7,15,20,Yes,21,19,17,15,13,15,15,15,14,15,15,16,16,16,15,15,15,14,15,15,16,16,16,15,15,15,14,14,15,15,15,14,14,15,15,15,14,14,14,13
11 48,1,26.77951388,27.86458334,86.24131944,66.49305556,66.92708334,54.34027778,33,9,7,17,30,No,21,19,17,15,13,12,11,13,13,13,12,12,13,14,14,15,15,15,14,14,14,13,13,13,12,13,13,13,12,12,12,11,11,12,13,13,13,12,13,14
11 48,2,26.77951388,27.86458334,86.24131944,66.49305556,66.92708334,54.34027778,33,9,7,17,30,No,21,19,17,15,13,15,15,15,14,14,14,13,13,13,12,13,13,13,14,15,15,15,14,14,14,15,15,15,14,15,15,16,16,16,15,15,15,14,14,14
11 48,3,26.77951388,27.86458334,86.24131944,66.49305556,66.92708334,54.34027778,33,9,7,17,30,No,21,19,17,15,13,12,11,13,13,13,12,13,13,13,12,13,14,15,15,15,14,14,14,15,16,16,16,15,15,15,14,14,14,13,13,13,12,12,12,13
11 49,1,NaN,NaN,NaN,NaN,NaN,NaN,19,5,6,8,20,Yes,21,19,17,15,13,12,11,10,9,8,10,10,10,9,9,9,8,8,8,7,7,7,8,9,9,9,8,8,9,9,9,8,8,9,9,9,10,10,10,9
11 49,2,NaN,NaN,NaN,NaN,NaN,NaN,19,5,6,8,20,Yes,21,19,17,15,13,12,11,10,9,8,7,6,8,8,8,7,8,8,8,7,7,7,6,6,6,5,6,6,7,8,9,9,9,8,9,9,9,8,9,9
11 49,3,NaN,NaN,NaN,NaN,NaN,NaN,19,5,6,8,20,Yes,21,19,17,15,13,15,15,15,14,14,14,13,13,13,12,12,12,11,11,12,12,12,11,11,11,10,10,11,11,11,10,10,10,9,9,10,11,11,11,10
